260 427 11
258 422 14
262 418 14
185 511 226
262 413 16
258 413 19
247 407 34
249 406 34
261 406 20
258 404 19
260 404 21
259 410 20
260 407 20
263 409 14
262 412 17
180 526 213
182 532 207
181 527 211
181 524 213
182 529 210
180 521 217
178 536 211
175 537 218
180 523 215
181 514 229
176 534 223
182 522 212
180 519 219
176 535 220
179 521 220
245 419 35
170 670 187
227 491 3
471 65 59
472 59 61
469 60 62
470 57 63
469 60 61
469 56 65
469 60 61
469 60 60
470 61 60
467 58 66
468 58 64
467 61 62
470 59 62
466 62 64
468 60 63
466 59 65
490 109 3
468 56 62
466 45 88
469 43 87
466 52 78
467 44 87
467 52 74
467 52 76
466 44 89
466 51 79
467 49 77
467 44 86
467 44 84
467 46 82
467 43 84
470 39 90
468 48 77
466 49 78
470 48 76
468 47 74
470 45 78
471 40 85
468 46 78
469 44 81
470 42 80
465 50 82
467 48 81
491 103 6
466 36 92
383 319 214
383 321 213
384 312 211
465 60 70
383 317 215
384 320 209
253 398 32
385 304 214
466 55 69
465 57 74
466 54 74
467 48 71
396 83 99
398 78 99
398 73 100
401 82 98
250 408 30
467 54 68
467 53 70
252 400 28
468 52 70
252 402 28
468 46 73
251 402 33
252 399 29
248 412 29
250 409 29
252 407 27
255 394 28
254 395 28
252 422 24
253 417 24
252 406 26
254 407 26
251 417 25
248 412 29
250 414 26
250 415 26
251 403 28
251 408 28
253 398 28
251 403 29
491 88 30
494 84 0
494 84 0
499 76 0
493 87 0
493 87 0
497 79 0
492 96 0
495 83 0
498 78 0
492 85 1
491 93 1
492 88 1
492 86 1
494 83 1
496 77 1
500 75 3
498 76 3
499 75 2
384 326 205
385 332 201
385 327 200
383 329 210
385 319 203
383 325 210
383 339 209
383 323 212
385 316 205
384 324 207
383 323 212
384 316 210
385 315 208
467 68 59
467 64 61
465 76 63
465 67 63
467 65 60
466 67 63
465 65 69
482 43 78
185 632 148
186 615 150
396 46 101
171 663 183
186 614 151
185 615 151
179 598 160
186 627 148
169 664 189
183 626 150
179 606 156
181 527 207
171 661 188
180 533 211
177 611 159
461 71 93
462 69 84
461 62 94
463 59 84
228 487 4
487 124 0
387 96 108
387 90 108
386 49 136
389 41 133
386 43 136
465 49 80
229 486 3
388 40 135
230 480 3
388 41 134
487 123 1
237 456 5
392 39 111
465 54 75
232 466 19
463 54 86
236 454 7
231 474 10
172 648 195
395 47 102
231 487 2
387 46 135
172 650 189
178 542 209
233 478 2
388 43 132
182 539 204
395 35 106
230 491 2
238 454 5
180 530 212
235 456 12
464 57 78
238 451 9
235 457 9
237 453 9
233 468 6
234 461 6
235 458 6
234 460 8
237 455 6
231 475 7
233 475 3
235 462 5
234 464 5
231 472 15
229 484 19
231 473 14
228 486 14
230 476 28
229 478 25
226 491 25
229 483 24
229 477 26
232 474 5
232 473 5
233 469 4
231 478 3
232 476 3
234 465 3
231 479 4
233 465 4
232 479 2
237 460 3
236 463 4
229 484 8
230 482 3
226 502 11
227 488 5
395 31 110
460 66 95
464 48 87
463 58 85
396 40 103
172 653 187
488 112 0
395 33 109
170 660 195
394 36 107
395 43 104
393 47 103
393 46 104
392 42 110
393 42 106
392 46 108
393 34 108
487 116 2
392 43 107
391 43 110
464 51 81
463 45 94
236 457 6
464 41 91
462 53 95
396 33 108
464 53 79
389 44 131
171 659 191
462 65 85
171 660 190
236 453 10
486 129 0
236 460 5
463 52 93
464 62 77
463 53 88
464 50 82
462 56 88
464 44 88
392 72 103
393 74 100
392 74 102
389 68 107
391 68 106
394 70 102
390 69 106
391 66 107
390 66 108
391 72 104
390 70 105
392 65 105
391 65 108
230 477 20
390 43 131
393 41 105
395 50 101
390 40 132
388 69 121
389 72 111
389 76 106
389 81 105
388 76 108
387 75 111
387 75 110
391 85 101
391 77 102
390 80 103
389 83 104
388 70 114
390 77 104
387 47 134
388 86 105
182 626 151
179 541 209
175 614 160
385 51 146
175 613 161
170 661 192
180 594 160
175 615 159
178 599 160
186 580 170
180 612 153
185 584 174
184 585 164
183 586 164
183 587 164
182 590 159
186 594 158
182 584 161
177 624 158
174 623 166
173 627 163
174 624 163
183 600 157
181 598 159
173 624 173
176 604 166
177 602 166
179 594 164
178 605 157
178 604 159
179 615 156
180 603 158
180 601 159
181 596 159
181 602 155
177 607 160
182 601 157
179 597 160
179 595 160
178 610 158
179 609 157
182 607 152
176 607 165
176 608 164
179 595 164
180 595 161
180 590 164
176 617 157
176 612 162
176 611 162
178 602 162
177 604 164
180 592 164
179 598 162
181 588 163
179 593 163
181 591 163
177 605 164
181 591 161
179 591 164
181 593 160
183 585 164
178 607 154
180 602 158
180 602 157
180 607 154
181 619 152
182 600 156
176 614 160
175 608 165
173 561 215
173 564 212
175 549 214
175 552 210
173 556 216
176 548 212
178 548 208
177 557 209
180 543 205
181 547 203
177 557 207
495 82 6
171 563 216
497 76 6
391 37 135
172 555 222
173 547 224
172 550 227
391 39 133
183 555 202
184 556 201
185 545 201
184 534 205
252 438 16
249 438 21
250 428 22
249 441 19
247 437 23
250 439 20
246 440 22
250 434 21
248 442 20
247 441 20
252 424 22
260 403 22
257 404 23
248 402 37
250 400 37
252 426 21
232 468 11
232 470 8
254 417 22
255 413 22
253 431 16
390 48 116
181 533 206
180 541 206
179 535 212
389 49 114
173 546 225
390 49 113
173 544 226
392 53 106
176 532 227
393 33 112
176 532 225
176 547 213
177 531 218
178 530 213
178 527 214
181 522 216
179 523 216
178 526 216
177 536 216
176 538 216
179 526 215
172 553 223
178 555 205
179 545 208
178 538 210
178 553 207
177 535 215
176 536 217
177 540 212
173 549 218
177 530 219
177 529 219
174 542 219
177 532 217
174 556 213
174 551 214
175 558 211
176 550 211
174 543 218
173 550 217
175 541 214
174 544 216
171 561 218
256 412 24
171 556 218
175 566 209
391 40 111
179 570 202
179 548 205
173 542 232
394 33 110
172 547 229
394 32 112
175 534 229
174 541 229
392 35 112
172 559 216
177 548 210
252 423 23
249 437 22
240 458 2
241 455 2
239 458 3
239 458 3
239 458 3
239 461 1
239 461 1
240 448 3
240 454 3
239 452 7
240 451 6
240 451 6
246 448 1
247 445 4
245 451 1
245 453 1
245 451 1
245 451 1
243 453 2
247 447 2
248 445 1
249 446 1
248 445 1
250 440 8
252 442 1
253 440 1
251 441 1
252 440 1
251 441 2
250 444 2
251 441 3
250 443 2
250 442 3
250 444 1
251 442 1
252 442 1
251 443 1
243 449 3
244 446 3
240 449 3
241 447 5
240 447 5
242 448 3
242 447 5
240 448 5
254 432 17
233 486 0
239 462 0
241 461 0
241 457 0
243 436 34
243 436 34
238 464 0
238 465 1
237 465 1
237 468 0
237 470 0
238 469 0
236 470 2
237 466 0
237 466 0
244 434 32
233 485 1
235 474 0
236 473 0
247 416 32
232 488 0
234 475 1
236 472 0
235 472 2
234 476 0
235 475 0
232 487 1
234 474 2
248 434 25
248 438 24
244 419 36
243 422 37
241 439 43
241 435 38
241 435 38
243 425 37
247 416 31
245 413 36
243 426 36
246 415 35
245 413 36
242 428 36
244 420 36
244 418 36
242 428 37
244 427 35
247 412 33
248 410 33
244 421 33
248 409 33
243 432 35
245 425 27
244 430 33
245 421 34
246 410 36
249 405 36
245 433 30
247 426 27
246 417 28
247 423 28
246 419 27
249 418 27
248 415 28
250 410 27
246 433 24
260 414 18
238 460 4
238 461 3
243 456 1
257 435 10
254 438 10
255 439 5
256 439 4
256 434 3
254 439 3
254 450 0
245 443 8
243 445 8
244 443 8
242 445 13
239 453 4
239 451 8
239 453 4
255 431 16
255 428 18
254 425 19
243 455 1
252 430 20
257 425 16
255 429 17
257 415 17
255 432 15
259 418 14
256 428 15
257 429 15
261 414 17
258 429 13
254 434 16
253 420 20
251 432 19
251 434 19
252 431 19
253 424 17
251 433 19
253 430 19
253 430 18
253 432 18
252 434 18
255 436 14
251 427 22
255 416 18
251 428 21
257 408 21
253 427 20
253 418 21
248 435 23
389 37 138
231 490 1
463 62 78
388 38 139
170 663 191
389 39 134
387 39 137
391 35 139
389 38 136
171 671 181
390 36 138
399 85 98
397 82 99
172 546 230
391 38 133
171 676 185
182 521 214
182 520 216
183 520 210
183 515 217
182 526 211
182 519 218
183 518 215
